logger_ID,annual_temperature,may_temperature,october_temperature,elevation,slope,tpi,twi,vrm,snow,carbon,pH,soildepth
1,4.376113097,3.388906916,4.494511843,2242.488281,29.09448814,0.018440394,6.124093056,0.003519391,619,8.242023468,4.760399818,9.066222191
12,2.110777219,0.884054768,1.170790046,2933.595215,23.63552856,0.448241115,5.267622948,0.008324823,691,0.990552247,5.554399967,3.070666552
19,3.189097484,0.617326884,3.025149782,2849.633545,30.37371254,-0.097295284,7.046848774,9.58e-4,725,1.445793271,5.418600082,4.528666496
22,2.174304128,0.748256446,1.41663746,2856.129395,31.23936272,-0.41000253,7.313250065,0.007634538,713,2.136648655,5.161200047,5.173999786
25,4.300999165,3.576574251,3.553294738,2251.163086,19.58714867,0.064241052,6.845297337,7.13e-4,626,11.95338821,4.709799767,5.091111183
37,1.490098615,0.894929532,1.435570319,2973.973633,33.14792252,-0.094961658,4.910121441,4.06e-4,712,1.289535522,5.211200237,2.639555454
39,2.504301508,1.712438217,1.86434871,2796.604004,26.16972351,0.223519966,10.21534157,0.00301286,696,2.12866044,5.958000183,3.975111008
49,1.536436617,1.350399919,1.170518085,2866.416016,26.74934769,0.469439745,3.375314713,0.014746209,705,1.303667426,6.207799911,5.16311121
52,2.488361875,1.493203096,1.795617978,2945.124268,34.07694626,0.478457868,5.307746887,0.004111698,717,2.884813309,5.054599762,12.11511135
55,1.621232102,0.266038666,1.446642697,3113.544678,28.43772507,-0.039903309,4.187457561,0.005000705,707,1.159525394,5.379399776,3.10133338
63,2.642673095,0.760674069,1.763886333,3022.367188,34.30511856,-0.212466121,6.641667843,0.001501319,748,0.972611308,5.418399811,3.814666748
67,1.425299048,1.213539999,1.483999948,2996.844238,34.08939362,0.163886964,5.039892197,8.31e-4,670,2.813676357,5.230000019,4.320444584
75,1.709715108,2.12153149,1.43264251,2986.242188,31.01621437,0.07047309,4.046620369,0.001241401,613,1.713554025,5.294000149,3.510666609
76,2.375234445,3.153250893,2.033150037,2922.467773,36.59260178,0.135941833,3.62251091,0.001032419,591,1.196418762,5.999599934,5.182666779
93,0.984606445,0.816932807,0.809083949,3063.727051,25.29952431,0.415472001,4.67721796,0.004610064,727,0.654306114,5.238999844,1.303555608
94,2.202631791,0.477086381,1.632995208,3031.540039,27.6983242,-0.310472727,3.808329344,0.002496291,736,1.039901733,5.490799904,4.186444283
109,5.025902907,4.662467281,4.302986463,2234.69043,19.7561264,0.044274449,6.327940941,1.45e-4,599,12.21952724,4.642000198,4.104222298
117,2.354784211,2.52009289,2.350834846,2921.400879,35.84257889,0.217508674,3.725008965,0.002787587,666,1.699429989,5.100399971,7.833555698
144,4.690267722,5.94137462,5.397527138,2244.956299,29.40439034,-0.313390493,4.722736835,0.013048203,574,18.71423531,4.917399883,9.726222038
154,1.771941841,0.869224407,1.186564699,2817.309814,32.4558754,0.570405483,2.052263737,0.057680454,702,2.194056511,5.362800121,7.210888863
157,2.10712409,1.034026255,1.349459002,2871.579346,43.59075165,0.173439309,2.354614019,0.016262572,598,3.452833414,5.776000023,7.151333332
160,5.248496532,5.981153011,5.903174082,2267.574707,36.27056503,0.096626639,5.232707977,0.006062402,562,15.67522144,4.595399857,12.18266678
166,2.214311759,0.656097663,2.214267254,3097.927734,69.18675232,1.283581853,0.761266828,0.043337665,33,5.126453876,5.196800232,4.667778015
167,2.382326841,1.159712911,1.000362099,2684.856689,55.69290924,-1.790536046,4.893701077,0.044026025,706,1.547290802,6.420199871,5.179555416
170,-2.904415925,-3.342847308,-1.194155653,3508.246094,38.86880493,1.7270298,1.537035584,0.143252403,835,1.400129557,5.445000172,2.601999998
181,0.668483421,-0.153942943,1.328743855,3274.207031,46.22208023,-0.194770083,3.314805508,0.004062338,764,1.291035056,5.203000069,1.437999964
183,3.939219157,3.919895411,4.6351003649999996,2261.412842,35.1037941,-0.032868199,3.381275177,0.00682124,567,8.393478394,4.632599831,14.93622208
190,1.418961902,1.247048626,1.900257389,2894.475586,41.80629349,-0.322184235,3.631546497,0.011907547,665,3.169958591,5.086999893,7.209555626
191,1.498274406,1.831104847,2.087457021,3073.508789,30.28932571,0.748973072,2.487285376,0.025352331,605,2.978381157,5.160399914,4.582221985
192,0.633134936,-0.72683387,0.860703876,3376.672607,43.17753983,0.742580295,2.689234257,0.014662742,743,1.071341157,6.063399792,1.878888845
195,0.55259948,0.792501398,0.854803992,3139.868652,32.98800278,-0.064117841,5.067705154,0.001432939,713,1.197364807,5.471399784,5.169333458
196,0.337258051,-0.610264144,0.596286212,3362.490967,37.29950714,-0.275953054,3.952446699,0.00729669,839,0.649898291,5.3052001,3.2522223
201,1.076106985,1.348385677,1.22005257,3061.20459,34.80054855,0.299160153,4.959453106,0.002498615,621,2.007420301,5.515200138,4.021111012
203,0.0579439,-0.08641433,0.439580252,3240.54834,38.61832047,-0.170704216,4.400183201,5.31e-4,760,0.80150187,5.102399826,1.612888932
205,0.43046243,0.110756814,1.553515693,3434.308838,42.69128036,0.435001433,2.744756937,0.035410225,731,1.658638358,5.058000088,2.330888987
208,0.509644628,0.531621137,0.883393382,3193.254883,36.79598999,-0.427895695,4.021288872,9.25e-4,739,0.71791172,5.327000141,3.890222311
209,-0.471049753,0.367582309,0.365761052,3111.587646,42.92682266,2.02396512,2.401413918,0.049111944,520,1.62108326,5.409599781,6.234666824
210,0.363586783,0.189561645,0.513440336,3181.240234,39.36452103,-0.223492846,3.978521824,9.76e-4,733,1.230247736,5.504600048,2.110666752
218,-0.109417464,-0.456132397,0.297313884,3215.789063,37.81833267,-0.198906615,3.077309847,0.00245684,771,0.597679853,5.583000183,0.619333327
225,1.323583066,1.67374198,1.24343586,2941.672607,37.32600403,-0.122914255,3.792610884,0.00249104,622,2.383834124,5.09980011,6.399777889
236,1.857136548,0.229356406,1.133074741,3102.12915,39.58666992,-0.309022486,4.703498363,0.004861392,726,0.932806432,5.532599926,3.668888807
294,4.68316253,4.386927128,5.448110104,2348.956543,49.08932877,-0.767715931,3.140247107,0.037281051,458,10.40383339,4.915999889,11.42777824
295,5.25202926,5.724685987,5.630006949,2496.696045,51.41968918,-0.955123603,5.279827118,0.022636412,509,6.566712379,4.761400223,7.610666752
302,5.205650965,5.771248658,6.337876956,2285.438965,47.17787933,0.763444364,2.518927813,0.02270782,460,9.215514183,5.006999969,10.27999973
307,4.849553585,5.341643333,4.914545059,2279.483398,41.15768814,-0.4658795,4.175302029,0.017112395,577,9.668926239,4.931200027,19.61088943
309,3.699584007,2.10672311,3.236701051,2540.071289,42.09659576,-0.91710043,5.931915283,0.022270331,649,8.663728714,5.009399891,4.277999878
313,5.027606964,4.808471918,4.481414239,2261.331543,19.51895905,-0.018280767,10.43574905,0.00203848,628,13.6418705,5.6104002,5.068222046
